ID_Curso,Nombre,Ciclo
C01,MATEMATICA,1
C02,MATEMATICA BASICA,1
C03,CONST.DESARROLLO Y DEF.NAC.,1
C04,QUIMICA GENERAL,1
C05,METODICA DE LA COMUNICACION,1
C06,ECONOMIA GENERAL,1
C07,MATEMATICA II,2
C08,FISICA I,2
C09,ALGORITMOS Y ESTRUCT. DE DATOS,2
C10,INTROD. A LA INGENIERIA DE SIST.,2
C11,GEOMETRIA DESCRIPTIVA Y DIBUJO.,2
C12,COMPORTAM.Y DESARROL.ORG.,2
C13,MATEMATICA III,3
C14,FISICA II,3
C15,LENGUAJE DE PROGRAMACION I,3
C16,CONTABILIDAD GENERAL,3
C17,ANALISIS ECONOMICO,3
C18,ADM.Y GESTION EMPRESARIAL,3
C19,MATEMATICA IV,4
C20,FISICA III,4
C21,LENGUAJE DE PROGRAMACION II,4
C22,INVESTIGACION OPERATIVA I,4
C23,ESTADISTICA,4
C24,METODOL.DE LA INVESTIGAC.CIENT.,4
C25,ANALISIS NUMERICO,5
C26,MATEMATICA DISCRETA,5
C27,TEORIA GENERAL DE SISTEMAS,5
C28,INVESTIGACION OPERATIVA II,5
C29,ESTADISTICA APLICADA,5
C30,ORGANIZACION Y METODOS,5
C31,CIRCUITOS ELECTRONICOS,6
C32,SISTEMAS DIGITALES,6
C33,COSTOS Y PRESUPUESTOS,6
C34,ANALISIS DE SISTEMAS,6
C35,ING.ECONOMICA Y FINANCIERA,6
C36,ARQUITECT. Y ORGAN.DEL COMPUT.,7
C37,LENGUAJE DE PROGRAMACION III,7
C38,MERCADOTECIA,7
C39,DISENO DE SISTEMAS,7
C40,LOGISTICA,7
C41,SISTEMAS OPERATIVOS,8
C42,FORMULAC.YEVALUAC.DE PROYECTOS,8
C43,BASE DE DATOS,8
C44,TEORIA DE DECISIONES,8
C45,ADM.CENTROS DE INFORMAC.,8
C46,SISTEMAS DE COMUNICACION,9
C47,SEMINARIO DE TESIS,9
C48,TALLER DE BASE DE DATOS,9
C49,SIMULACION DE SISTEMAS,9
C50,SIST.DE INFORMACION GERENCIAL,9
C51,GESTION TECNOLOGICA,10
C52,PROYECTOS DE SISTEMAS,10
C53,INGENIERIA DE SISTEMAS,10
C54,AUDITORIA DE SISTEMAS,10
C55,ESTARTEG.EMPR.Y POLIT.CORPORAT.,10
C56,LENGUAJE DE ENSAMBLADOR(E),6
C57,TELEINFORMATICA(E),6
C58,AUTOMATIZ.DE PROCESOS(E),7
C59,TELEINFOIRMATICA II (E),7
C60,COMPILADORES E INTERPRETES (E),8
C61,ANALISIS Y DISEÃ‘O DE REDES (E),8
C62,INTELIGENCIA ARTIFICIAL (E),9
C63,SISTEMAS DISTRIBUIDOS (E),9
C64,INGENIERIA DE SOFTWARE(E),10
C65,PROYECTOS DE REDES (E),10
